lang/code,lang/conf,group,description,title,url,geo/type,geo/coordinates/0/0,geo/coordinates/0/1,tags/0,spider,employmentType/0,lastSeen,jobLocation/0,identifier,hiringOrganization/0,firstSeen,employmentType/1,sector,industry,subIndustry,hiringOrganization/1,tags/1,tags/2,employmentType/2,employmentType/3,employmentType/4,employmentType/5,employmentType/6,employmentType/7,employmentType/8,hiringOrganization/2,hiringOrganization/3,hiringOrganization/4,hiringOrganization/5
en,1,JobServe,"Work with the data science team to build new products and integrate analyticsinto existing workflows. Leverage big data solutions, advanced statisticalmethods, and web apps. Coordinate with domain experts, IT operations, anddevelopers. Present to clients.  * Coordinate the workflow of the data science team  * Join a team of experts in big data, advanced analytics, and visualizat...",Data Science Team Lead,"http://www.jobserve.com/us/en/search-jobs-in-Columbia,-Maryland,-USA/DATA-SCIENCE-TEAM-LEAD-99739A4618F8894B/",MultiPoint,-76.8582049,39.2156213,Job Board,jobserveNa,Unspecified,2015-05-13T01:21:07.240000,"Columbia, Maryland, United States of America",99739A4618F8894B,Customer Relation Market Research Company,2015-05-13T01:21:07+00:00,,,,,,,,,,,,,,,,,,
de,1,JobServe,"**Referenz Nr.: **5079JL**Branche:** Bank**Einsatzort:** Bern und Region**Pensum:** 100%**Beginn:** ab sofort/nach Vereinbarung**Dauer:** 6 Monate +**Introduktion:**ITech Consult AG ist seit 1997 auf die Vermittlung von externen Informatik-Profis spezialisiert. Wir wissen, was es bedeutet, ständig im Einsatz zustehen - und wir wissen auch, wie wichtig die professionelle Unterstützung beiProjektsuche und -arbeit ist.**Rolle:**Unser Kunde sucht einen Spezialisten im Bereich Applikationsmanager/Entwickler(Data Science/  Mining), der auch eine Stellvertretung für den Applikationsverantwortlichenwahrnehmen kann mit folgenden Aufgaben:  * Betreuung einer Applikation oder eines Applikationsclusters.  * Managen des Lifecycles der Applikationen, Sicherstellen des technologischen Fortschritts, der sicherheitstechnischen Anforderungen und der einfachen Betreibbarkeit.  * Planung und Durchführung komplexer applikatorischer Releases.  * Behebung schwieriger, betriebskritischen Störungen/Fehlern auf der Applikation, welche nicht via Betrieb gelöst werden können.  * Umsetzung von notwendigen Anpassungen aus Incidents und Problems**Anforderungen:**  * Abgeschlossenes Diplom oder gleichwertige Erfahrung  * Mind. 5 Jahre Erfahrung als Applikationsmanager und Entwickler  * Erforderliche Branchenerfahrung: Bank  * fliessende Deutschkenntnisse",Applikationsmanager/Entwickler (Oracle/Data Science),http://www.jobserve.com/ch/en/find-jobs-in-Switzerland/APPLIKATIONSMANAGER-ENTWICKLER-ORACLE-DATA-SCIENCE-E24F6F9E67256EDC/,MultiPoint,7.4515008,46.9482759,Job Board,jobserveEu,Contract,2015-05-13T00:26:48.115000,"Bern, Switzerland",E24F6F9E67256EDC,ITech Consult,2015-05-08T00:25:01+00:00,,,,,,,,,,,,,,,,,,
en,1,LinkedIn,"Santa Clara, CA, US**Listing Info    **Senior Data Science Engineer  ** Data Science Santa Clara, CA, United States    ****Senior Data Science Engineer    **Analytics Santa Clara, CA    **Your goal – to improve the education process and better the lives of students -- through data and analytics.     ****Organization: Data Engineering** The Data Engineering team is central to Chegg – supporting every business line and functional organization at the company. It is a team composed of data modelers, data engineers, data science engineers and architects. The team influences strategy and tactics for Chegg’s data ecosystem.    **Role:  Data Science Engineer    **Your primary focus will be bringing to production a new set of data products and services at Chegg. These will be built upon data science, recommendation systems, and other algorithmic approaches. We have no attachment to legacy processes. You will work very closely with our Analytics team to bring Big Data solutions to our application layer. You’ll select the best technologies and influence which algorithms make sense to use.    This is a highly technical role and not for amateurs. You will need extensiveexperience in working with various Big Data tools, machine learning models,and engineering platforms. In addition, you must be a leader that can provideguidance and mentorship.    ** Responsibilities  **  * Influence data science algorithms and services that will be used as the backbone of recommendation engines, discovery platforms, custom matching services, and for internal analysis purposes.  * Migrate models and systems from prototype to full production.  * Participate in the architectural design of data science platforms that will unite data science capabilities with data engineering, and product engineering.  * Develop presentations to communicate broadly across the product groups and business units.  **Requirements:  **     * B.S. in Computer Science, Statistics, Math or related quantitative fields.  * 5-7 years of demonstrated success in moving systems from their prototype stage into full production.  * Have an extensive engineering toolset including an advanced understanding of MapReduce, and machine learning algorithms.  * Expert with Hadoop from both the operational and engineering perspectives  * Expert with Java in the MapReduce use case.  * Fluent in writing SQL queries for data manipulation.  * Passionate about producing high-quality engineering deliverables and communicating results to a broad audience.  * Self-motivated; independent, organized and proactive; highly responsive, flexible, and adaptable when working across multiple teams.  **Preferred:   **  * Expert in at least one of the scripting languages such as Python, Perl or Ruby.  * Experience working with Amazon EMR.  **Chegg out our culture and benefits!    ****http://www.chegg.com/jobs/benefits    ****     ****https://www.youtube.com/watch?v=YYHnkwiD7Oo    ****  http://techblog.chegg.com/        ****     ****     **Chegg is an equal opportunity employer    About Chegg    Chegg puts students first and is proud to have saved students and theirfamilies more than $500 million in 2014 alone. As the leading student-firstconnected learning platform, Chegg's Student Hub makes higher education moreaffordable and more accessible, all while improving student outcomes. Chegg isa publicly-held company based in Santa Clara, California and trades on theNYSE under the symbol CHGG. For more information, visit www.chegg.com    Chegg Student Hub: What is it? https://vimeo.com/120377654    Glassdoor - Best Places to Work 2015! - http://bit.ly/GDBPTW    Chegg Saved Students and Their Families More Than $500 Million in 2014 YahooFinance - http://yhoo.it/1sw5p34",Senior Data Science Engineer,https://www.linkedin.com/jobs2/view/55008010?trk=jserp_job_details_text,MultiPoint,-121.9551744,37.3541132,Job Board,linkedin,Vollzeit,2015-04-04T02:30:58.978000,"Santa Clara, CA, US",55008010,Chegg,2015-04-04T02:30:58+00:00,,,,,,,,,,,,,,,,,,
en,1,JobServe,"# Job Description    Position Summary: Analyst for the Data Science team for part-time temporaryprojects.    Reporting to the Director of Data Science, the Metis Analyst will beresponsible for managing and completing short term temporary projects for theData Science team, using programming and statistical methods. The MetisAnalyst will be assigned to a single project and will report the results backto key stakeholders upon completion.    Key Job Responsibilities: Data Analysis, Predictive Modeling, DataVisualization, Presenting Results.    Minimum Qualifications:    * Experience working with Python, SQL, D3    * Understanding of and experience with machine learning    *Job Title:* KTP Data Science Analyst    *Req #:* 27878BR    *Division:* Kaplan Test Prep    *State/Province:* New York    *City:* New York    *Full Time/Part Time:* Part-Time    *Required Working Hours:* Days",KTP Data Science Analyst,http://www.jobserve.com/us/en/mob/job/6BA37FC9C31B9096,MultiPoint,-73.9865812,40.7305991,Job Board,jobserveUs,Unspecified,2015-07-15T14:41:38.372000,"New York City, New York",6BA37FC9C31B9096,Kaplan University,2015-07-15T14:41:38+00:00,,,,,,,,,,,,,,,,,,
de,1,Bundesagentur für Arbeit,"Job ID: 180858  Location: München  Organisation: Infrastructure & Cities Sector  Mode of Employment: Unbefristet    Gemeinsam machen wir den Unterschied        In der Division Mobility sind die Zugtechnik und die Bahnautomatisierung vonSiemens zusammengefasst. Die beiden Bereiche adressieren das WachstumsfeldSmart Mobility mit intelligenten und integrierten Lösungen. Dazu gehören unteranderem Schienenfahrzeuge und die dazugehörigen Serviceleistungen,Bahnelektrifizierung, Infrastrukturlogistik sowie intelligente Verkehrs- undTransportsysteme.        Werden Sie jetzt Teil unseres Teams von Mobility als Data Science Engineer(m/w) in München.        Was sind meine Aufgaben?        \- Entwicklung innovativer Lösungen zur Datenanalytik bestehend ausentsprechenden Technologien, Algorithmen und Applikationen – von derIdeenentwicklung über Prototypen bis hin zu skalierbaren industriellenSystemen  \- Identifizierung und Bewertung unbekannter Beziehungen in den Daten vomFahrzeugen, Infrastruktur und anderen Daten um businessrelevante Erkenntnissezu gewinnen  \- Durchführung explorativer Datananalysen in komplexen Datenstrukturen  \- Erstellung wiederverwendbarer analytischer Modelle und Operationalisierungsolcher Modelle in der Analytikplattform  \- Erstellung entsprechender Visualisierungen für die Ergebnisse derartigeranalytischer Modelle  \- Zusammenarbeit mit Businessverantwortlichen zum Verständnis derGeschäftsanforderungen und zur Identifizierung von Geschäftsmöglichkeitendurch Datenanalytik  \- Implementierung und Management von “Big Data”-Projekten mit dem Fokus aufmoderner Datenanalytik, maschinellem Lernen und industriellen Applikationen    Was bringe ich mit?        \- Erfolgreich abgeschlossenes Hochschulstudium der Informatik, Mathematik,Physik, Ingenieurswissenschaften oder ähnlicher Fachrichtungen  \- Mehrjährige Erfahrung im Kontext von “Data science” und modernerDatenanalytik  \- Starke Erfahrungen in Technologien, Algorithmen und Methoden zurDatenanalytik, insbesondere im Umfeld Data Mining, maschinellem Lernen undSimulation  \- Kenntnissen relationaler Datenbanken (SQL) und NoSQL-Datenbanken bzw.Hadoop, sowie Programmierkenntnisse insbesondere in Java, C# oder C++  \- Erfahrung in der Nutzung analytischer Tools und Systeme, insbesondere R undanderer Arbeitswerkzeuge zum Data Mining  \- Fähigkeit Schlussfolgerungen aus Daten zu ziehen und entsprechendeHandlungen vorzuschlagen  \- Starke Präsentations- und Kommunikationsfähigkeiten, insbesondere dieFähigkeit komplexe Analysen in klarer und umsetzbarer Form den Geschäften zukommunizieren  \- Selbstmotivation, Initiative, Durchsetzungsfähigkeit und starkeErgebnisorientierung    So treten Sie mit uns in Kontakt – einfach und direkt        www.siemens.com/mobility  wenn Sie vor Ihrer Bewerbung mehr über den Geschäftsbereich erfahren möchten  +49 (9131) 7-35335  wenn Sie erste Fragen gern persönlich mit unserem Recruiting Team klärenmöchten  www.siemens.de/karriere/FAQs  wenn Sie mehr Informationen über den Bewerbungsablauf und unsere Leistungenfür Mitarbeiter erfahren möchten",Data Science Engineer (m/w) (Informatiker/in (Hochschule)),http://jobboerse.arbeitsagentur.de/vamJB/stellenangeboteFinden.html;jsessionid=YHhBJBQTJKWdR2V6VnJzYnQ23GnBRCGRRJb1HNVrfpyh4NBs2vbW!538835828?&benc=TTLXxYYy0Sr3Nrv5QHIY2rCmWdoVZXqaMwmsJEYnA5KRlLLuh8DGAw%3D%3D&benc=25e9rvrtNr2sPTIg2QRevt8lPqnANpUs0xc9Xk1u5%2FShw0Gs%2B9pNQyzXxHVPW4GTMpcaldAzQIQ%3D&benc=SeezuLPCjlMpF8ofLRUEij00yWqB7VvGO4m9gOriLqA9KrfQjQ1PIf%2Fuk0iqireOoCmSsLCvbfCeHJWkbiV21RcWEjywNh2t434riG08o%2Bs%3D,MultiPoint,11.4844229457238,48.192996,Job Board,arbeitsagentur,Vollzeit,2014-10-28T03:36:32,"80997 München, Bayern, Deutschland",12465-511334-000001-S,Siemens AG Recruiting Center Talent Acquisition,2014-10-18T03:19:54+00:00,,,,,,,,,,,,,,,,,,
de,1,JobServe,"Unser Klient ist eines der grten globalen Medienkonzerne und zhlt zu Europasgrten Anbietern fr E-commerce und Digitalen Plattformen. Mit mehr als 50Millionen Kunden in 40 Lndern, verfgt unser Mandant ber eines der grtenDatenstze der Welt. Das aktuelle Data Sciene Team besteht aus 10 Experten aus4 Lndern. Zur Verstrkug des Teams suchen wir daher in Berlin ab sofort einenSenior Data Scientist (m w) IHRE AUFGABEN Als Teil eines innovativen DataScience Engineering Teams, welches stndig wchst, sorgen Sie fr einekontinuierliche Weiterentwicklung des Daten Statistik Predictive AnalyticsBereichs Anwendung von AWS, R, SQL und Python um Data Mining, statistischeModellierung und Daten Analysen durchzufhren Als Vorreiter der statistischenMethoden wenden Sie Bayessche Statistik Methoden Monte Carlo Simulation anAnhand der vorhandenen Terrabytes an Datenstzen, generieren Sie Einblicke indas Kundenverhalten und sagen zuknftige Verhaltensweise vorher umkommerziellen Mehrwert zu erschaffen Als Schnittstelle zwischenunterschiedlichen Bereichen werden Sie als Ansprechpartner fr diverseStakeholder und interne Ansprechpartner fr das Thema Data Science fungierenSie arbeiten Konzernbergreifend an internationalen Marken und E-commercePlattformen, sowie an spannenden und abwechslungsreichen Projekten mitwirkenIHR PROFIL Erfolgreich abgeschlossenes Studium im Bereich Mathematik, Physikoder Informatik, idealerweise haben Sie promoviert Sie verfgen ber sehr guteFhigkeiten in angewandter Informatik und statistischer Daten Modellierung uminnovative Praktiken innerhalb des Data Science Bereichs zu erzielenSehrguteundschnelleAuffasungsgabe um neueSoftwaresundKenntnissezuerlernendasArbeitsumfeldistsehrdynamischundentwickeltsich stndig weiter Sie verfgenber sehr gute Kenntnisse im Umgang mit den gngigen Data Science Tools bspw.AWS Redshift, Python, R, Hive, Hadoop, SAS, SPSS, Expertenkenntnisse instatistischen Methoden, z.b. Bayessche Statistik, Monte Carlo Simulation,Evolutionrer Algorithmus KEY WORDS Berlin, Data Science, Statistik,Stochastik, AWS Redshift, Python, R, Hive, Hadoop, SAS, SPSS, Redshift, AWS,SQL, NoSQL, Hadoop, Hive, Matlab, Baysessche Statistik, Monte CarloSimulation, Maschinelles Lernen, Big Data, Data Scientist, Statistik,Informatik, Computer Science,",Senior Data Scientist (m/w),"http://www.jobserve.com/de/en/search-jobs-in-Berlin-Brandenburg,-Germany/SENIOR-DATA-SCIENTIST-M-W-B8F6ACF47210486E/",MultiPoint,13.41053,52.52437,Job Board,jobserveDe,Permanent,2015-04-19T00:12:10.932000,"Berlin, Germany",B8F6ACF47210486E,Harnham 1,2015-04-17T00:08:02+00:00,,,,,,,,,,,,,,,,,,
en,1,JobServe,"Head of Data Science - Data Science, Data Coding, Open Source, Hadoop (Hive,Impala, Pig), Mahout, PostgreSQL, AWS (EC2, EMR, S3) MongoDB, Neo4J-Cypher,Data Munging, Data AnalysisUp to £80K base + bonus + benefits, location: London with UK travel whenneededSuperb opportunity for a Head of Data Science to join my end user client to beresponsible for evangelising big data technology/data science and to lead theData Science Centre of Excellence.A huge bonus will be that you have exposure to data science and data analyticsprojects within a HR Solutions company or a HR consulting organisation.You will be able to demonstrate most of the following skills in:  * Data Systyems: Hadoop (Hive/Impala/Pig),Mahout, PostgreSQL, AWS (EC2/EMR/S3), MongoDB, Neo4J - Cypher.  * Analytical Skills: Data Munging, Statistical Analysis, Experimental design (sampling, confidence), Classifier and predictor development, Time series analysis, Pattern detection, Natural Language Processing, Sentiment Analysis, Computer Vision.  * Supplementary Skills: Data Visualisation, API Exploitation, Source control using Git, Continuous Integration (Jenkins), Unit Testing, Virtual Machines (Vagrant, Virtualbox).  * Languages: Python (+ SciPy/Pandas/SciKitLearn), R, Excel (+VBA), SQL, Bash Scripting, Clojure (+ Cascalog), HMTL5 (+ D3/Bootstrap/Yeoman)This is an excellent chance to build your career prospects within a companythat is thriving with some of the most exciting data science and dataanalytics projects in the worldInterview in London with hiring manager on Thursday 3rd September",Head of Data Science - Data Science Centre of Excellence,http://www.jobserve.com/gb/en/mob/job/71CE945F0E224795,MultiPoint,-0.1276474,51.5073219,Job Board,jobserveGb,Permanent,2015-08-05T15:37:32.385000,London,71CE945F0E224795,Careerwise,2015-08-05T15:37:32+00:00,£80k per annum + bonus + benefits,,,,,,,,,,,,,,,,,
en,1,Monster,"COMPUTER:  Workday, Inc. in Pleasanton, CA seeks a Data Science Product Manager to helpdrive the requirements and design of our data analysis and system monitoringfeatures. See website for complete details:",Data Science Product Manager,http://jobview.monster.com/Data-Science-Product-Manager-Job-Pleasanton-CA-US-136690497.aspx,MultiPoint,-121.862128,37.646081,Job Board,monsterCom,Full Time,2014-07-14T03:55:51,Pleasanton CA US,136690497,Workday,2014-07-14T03:55:51+00:00,,,,,,,,,,,,,,,,,,
de,1,StepStone,"VERSTÄRKEN SIE UNSER TEAM Wir suchen zur Festanstellung in München ab sofort##  (Senior) Consultants Data Analytics / Data Science (w/m)zur Verstärkung unseres erfolgreichen BA-Teams für die Beratung, Konzeptionund Entwicklung innovativer Konzepte für Data Mining-Strategien und–Architekturen Unser Unternehmen mit ca. 580 Mitarbeitern plant, realisiertund betreut IT-Systeme für Automobilindustrie und Banken. Wir besitzenlangjährige Erfahrung in der professionellen Abwicklung von Projekten. Wirlösen unsere Aufgabenstellungen im Team, mit neuesten Technologien, hoherKreativität und Spitzen-Know-how.###  IHRE AUFGABEN:Entwicklung und Konzeption von gesamthaften Data Mining Lösungen mit SPSSModeler, R, QlikView und anderen Analytics-/BI-Tools für unsere KundenBeratung unserer Kunden rund um die strategischen Themen Data Mining,Operation Research, Data Discovery und Visualisierung### IHR PROFIL:Abgeschlossenes Studium der Wirtschaftsinformatik, Informatik, Mathematik,Statistik oder vergleichbare Ausbildung Idealerweise bereits Berufserfahrungin Business Analytics / Data Science oder BI Kenntnisse in der Anwendungstatistischer Methoden, Data Mining, Optimierung, Datenvisualisierung undReporting Gute Kenntnisse in SPSS Modeler, SAS oder sonstigen Data Mining /Big Data Tools Idealerweise Kenntnisse in Technologien wie QlikView, Tableau,Cognos, Oracle BI IT Expertise zu Datenbanken oder Kenntnisse in denProgrammiersprachen SQL, R, Python wünschenswert Hohe Eigeninitiative undEinsatzbereitschaft, selbständige Arbeitsweise, Flexibilität, sowie sehr guteDeutsch- und Englischkenntnisse### UNSER ANGEBOT:Ausgezeichnete Konditionen in einem sehr kollegialen Umfeld Eine flache,projektorientierte Unternehmensstruktur Kurze Kommunikationswege fürunbürokratische Entscheidungen Bedarfsgerechte, individuelleEntwicklungsmöglichkeiten### SIND SIE INTERESSIERT?Dann freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen - bevorzugtper E-Mail – mit Angabe Ihres frühestmöglichen Eintrittstermins und IhrerGehaltsvorstellung. Sulzer GmbH Personalreferat Frankfurter Ring 162 80807München Tel.: 089/31858-0 E-Mail: jobs@sulzer.de Web: www.sulzer.de",(Senior) Consultants Data Analytics / Data Science (w/m),http://www.stepstone.de/stellenangebote--Senior-Consultants-Data-Analytics-Data-Science-w-m-Muenchen-Sulzer-GmbH--3258969-inline.html?isHJ=false&isHJR=false&suid=5d11e5f2-7f64-4b6c-b6d5-3efdc33e47ad&ssaPOP=20&ssaPOR=45,MultiPoint,11.5754815,48.1372719,Job Board,stepstone,Vollzeit,2015-06-01T07:43:56.105000,München,3258969,Sulzer GmbH,2015-04-09T00:01:47+00:00,Feste Anstellung,,,,,,,,,,,,,,,,,
de,1,Amazon.com Inc,"Surrounded by water, mountains, and cherry blossoms, we are proud to pushthe...Die Audible GmbH ist ein führender Anbieter von Hörbuch-Downloads inDeutschland. Unter www.audible.de sind momentan mehr als 150.000 Titel indeutscher, englischer, spanischer und französischer Sprache von mehr als 800Verlagen erhältlich - darunter die größte Auswahl ungekürzter Hörbücher.Audible ist weltweit exklusiver Hörbuch-Partner des Apple iTunes Store.Audible gehört seit einigen Jahren zum E-Commerce-Unternehmen Amazon.    Zur Verstärkung unseres Teams in Berlin suchen wir einen engagierten undbegeisterungsfähigen      Werkstudent – Data Science (m/w)  Als Werkstudent im Bereich Data Science unterstützt Du uns vorrangig bei derVerarbeitung und Analyse unserer Datensätze. Dabei arbeitest Du unter derLeitung eines Data Science Director und eng mit unserem Marketing Teamzusammen. Du lernst dabei verschiedene statistisch-mathematische Modelleanzuwenden und umfangreiche Analysekonzepte zu verwerten.    Deine Aufgaben:  · Unterstützung des Data Science Teams bei der analytischen Erschließungverschiedener Phasen des Kundenlebenszyklus in einem internationalen (auchnicht europäischen) Kontext.  · Unterstützung unseres Data Science Teams bei statistischen Analysen entlangihrer gesamten Wertschöpfungskette: Problemformulierung, Anschluss undErkundung möglichst passender Daten, Modellbildung, Modellimplementierung.  · Als Berater/Mitdenker pflegst Du einen engen Kontakt zu unserem MarketingTeam, um neue Strategien zu entwickeln.  Dein Profil:  · Du hast eine Vorliebe für Datensätze sowie Modelle und interessierst Dichfür gesamtheitliche analytische Herangehensweisen mit einem Bias fürPragmatismus.  · Codes und Simulationen sind eine Leidenschaft von Dir.  · Du hast Kenntnisse in mindestens einem der folgenden Programme:“Languages”-C, Mathematica, MatLab, Python, R, SAS.  · Deine Sprachkenntnisse in Englisch sind sehr gut.  Deine Aussichten:  · Langfristiges Mitwirken (idealerweise 2 Jahre) als vollwertiges Mitglied ineinem tollen Team mit der Möglichkeit, Dich mit Deinen persönlichen Stärkenindividuell einzubringen und Branchenkompetenz sowie technisches Knowhowaufzubauen.  · Spannende Einblicke beim weltweit führenden Anbieter für Hörbuch-Downloadsin einem stark expandierenden, an Amazon angelehnten, internationalen und sichpermanent bewegenden Umfeld und einer außergewöhnlich schönen Arbeitsumgebungin Berlin Mitte.  · Wir suchen eine Unterstützung für ca. 20 Stunden in der Woche. Vergütet wirdDeine Tätigkeit mit 12,- € pro Stunde. Die Abrechnung erfolgt perLohnsteuerkarte.    Trifft dieses Profil auf Dich zu und hast Du Lust, mit uns zusammen dieEntwicklung eines neuen Marktes aktiv voranzutreiben? Dann freuen wir uns Dichkennenzulernen! Bitte sende uns Deine vollständigen Bewerbungsunterlagen mitAnschreiben, Lebenslauf, sowie ggf. Arbeits- oder Praktikumszeugnissen überunser Bewerbungstool.    Durch Zusendung Deiner Unterlagen stimmst Du der Speicherung Deiner Daten inunserem Bewerbungstool zu. Deine Daten werden ausschließlich für denBewerbungsprozess genutzt.",Werkstudent – Data Science,http://www.amazon.jobs/jobs/339323/werkstudent-data-science,MultiPoint,13.41053,52.52437,ForbesMVB,amazon,,2015-08-05T00:16:52.705000,"DE, Berlin",339323,Amazon,2015-07-25T00:02:12+00:00,,Consumer Discretionary,Retail - Discretionary,E-Commerce Discretionary,Business Intelligence,,,,,,,,,,,,,
